;Datos hombres;;;;;;Datos mujeres;;;
;edad;salario;inferior;superior;;;edad;salario;inferior;superior
;;;;;;;;;;
1;25;540018.0;513262.9;568167.7;;1;25;314750.5;298173.2;332249.5
2;26;541157.1;514800.3;568863.4;;2;26;315414.5;299052.1;332672.1
3;27;542298.7;516325.1;569578.8;;3;27;316079.8;299923.8;333106.1
4;28;543442.6;517836.5;570314.9;;4;28;316746.6;300787.8;333552.1
5;29;544589.0;519333.2;571073.0;;5;29;317414.7;301643.6;334010.5
6;30;545737.7;520814.1;571854.1;;6;30;318084.3;302490.5;334482.0
7;31;546888.9;522278.3;572659.3;;7;31;318755.3;303328.1;334967.1
8;32;548042.6;523724.4;573489.9;;8;32;319427.7;304155.7;335466.4
9;33;549198.6;525151.3;574347.1;;9;33;320101.5;304972.9;335980.6
10;34;550357.1;526558.0;575231.9;;10;34;320776.7;305779.0;336510.1
11;35;551518.1;527943.3;576145.6;;11;35;321453.4;306573.5;337055.5
12;36;552681.5;529306.0;577089.3;;12;36;322131.5;307355.8;337617.4
13;37;553847.3;530645.1;578064.1;;13;37;322811.0;308125.5;338196.4
14;38;555015.6;531959.7;579070.9;;14;38;323491.9;308882.1;338792.8
15;39;556186.4;533248.7;580110.8;;15;39;324174.3;309625.1;339407.2
16;40;557359.7;534511.3;581184.7;;16;40;324858.2;310354.2;340040.0
17;41;558535.4;535746.9;582293.2;;17;41;325543.4;311068.9;340691.5
18;42;559713.6;536954.7;583437.1;;18;42;326230.1;311768.9;341362.2
19;43;560894.3;538134.1;584617.0;;19;43;326918.3;312454.0;342052.2
20;44;562077.4;539285.0;585833.2;;20;44;327607.9;313124.1;342761.7
21;45;563263.1;540406.9;587086.0;;21;45;328299.0;313778.8;343491.1
22;46;564451.3;541499.7;588375.7;;22;46;328991.5;314418.3;344240.2
23;47;565641.9;542563.4;589702.1;;23;47;329685.5;315042.4;345009.3
24;48;566835.1;543598.3;591065.2;;24;48;330381.0;315651.1;345798.2
25;49;568030.8;544604.5;592464.8;;25;49;331077.9;316244.7;346606.8
26;50;569229.1;545582.5;593900.5;;26;50;331776.3;316823.2;347435.1
27;51;570429.8;546532.8;595371.7;;27;51;332476.1;317386.8;348282.8
28;52;571633.1;547455.9;596878.0;;28;52;333177.5;317935.8;349149.8
29;53;572838.9;548352.6;598418.7;;29;53;333880.3;318470.6;350035.7
30;54;574047.3;549223.6;599993.0;;30;54;334584.6;318991.3;350940.1
31;55;575258.2;550069.7;601600.2;;31;55;335290.4;319498.5;351862.9
32;56;576471.7;550891.8;603239.3;;32;56;335997.7;319992.4;352803.5
33;57;577687.7;551690.9;604909.6;;33;57;336706.4;320473.5;353761.6
34;58;578906.3;552467.7;606610.2;;34;58;337416.7;320942.3;354736.7
35;59;580127.5;553223.3;608340.1;;35;59;338128.4;321399.2;355728.5
36;60;581351.2;553958.7;610098.4;;36;60;338841.7;321844.6;356736.5
37;61;582577.6;554674.6;611884.2;;37;61;339556.5;322278.9;357760.3
38;62;583806.5;555372.1;613696.6;;38;62;340272.7;322702.7;358799.4
39;63;585038.0;556052.1;615534.9;;39;63;340990.5;323116.5;359853.4
40;64;586272.1;556715.4;617398.0;;40;64;341709.8;323520.5;360921.8
41;65;587508.8;557362.9;619285.2;;41;65;342430.7;323915.3;362004.4
Showing 1 to 18 of 41 entries, 4 total columns;;;;;;Showing 24 to 41 of 41 entries, 4 total columns;;;;
